KEY	DT_OPERACAO	VLR_RENDA_LIQUIDA	GRAU_DE_INSTRUCAO	VLR_SOLICITADO	VLR_PARCELA	UF	SEXO	QTD_PARCELAS	PRODUTO	ALVO	IDADE	SCORE
799	28/07/2016	575.39	ENSINO MEDIO COMPLETO                                                                               	500.00	126.30	PE	M	8	7770	0	64	92.46
800	01/03/2016	715.00	ENSINO MEDIO COMPLETO                                                                               	826.23	182.71	PR	F	12	7770	0	37	57.35
801	05/10/2016	2631.31	ENSINO MEDIO COMPLETO                                                                               	1000.00	219.70	AL	F	12	7770	0	61	59.94
802	17/06/2016	2445.65	ENSINO MEDIO COMPLETO                                                                               	3000.00	620.60	SP	F	12	7770	0	46	40.62
803	27/10/2016	1617.42	ENSINO FUNDAMENTAL COMPLETO                                                                         	3067.68	719.38	RS	M	12	7770	1	53	19.78
804	02/09/2016	1175.00	ENSINO MEDIO COMPLETO                                                                               	1249.46	351.63	RJ	F	12	7817	0	54	45.71
805	09/08/2016	575.77	ANALFABETO                                                                                          	505.00	116.01	AM	F	12	7770	0	73	64.81
806	07/10/2016	880.85	ENSINO MEDIO COMPLETO                                                                               	502.00	148.93	SP	F	8	7770	0	64	64.23
807	08/07/2016	1366.14	ENSINO MEDIO COMPLETO                                                                               	2000.00	437.24	SP	M	12	7770	1	76	65.80
808	10/10/2016	942.06	ENSINO MEDIO COMPLETO                                                                               	405.37	98.71	RS	F	8	7770	1	48	63.83
809	12/09/2016	1134.45	ENSINO MEDIO COMPLETO                                                                               	1891.42	413.80	PE	F	12	7770	1	76	32.83
810	21/07/2016	574.03	ATE 4 SERIE INCOMPLETA DO ENSINO FUNDAMENTAL                                                        	600.00	139.21	PE	M	12	7817	0	73	83.19
811	05/08/2016	715.10	ENSINO MEDIO COMPLETO                                                                               	350.00	80.22	ES	M	12	7770	0	63	70.75
812	20/09/2016	745.82	ENSINO FUNDAMENTAL COMPLETO                                                                         	1629.94	327.50	RJ	F	12	7770	0	53	66.43
813	11/08/2016	1900.83	EDUCACAO SUPERIOR COMPLETO                                                                          	700.00	175.61	SP	M	8	7770	0	72	85.12
814	16/05/2016	880.00	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	1610.25	389.11	PE	F	12	7770	0	65	65.53
815	22/08/2016	902.40	4 SERIE COMPLETA DO ENSINO FUNDAMENTAL                                                              	1500.00	299.20	BA	M	12	7770	0	42	53.82
816	20/07/2016	880.00	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	1000.00	245.21	SP	F	12	7817	0	40	33.86
817	15/07/2016	575.00	ATE 4 SERIE INCOMPLETA DO ENSINO FUNDAMENTAL                                                        	1044.39	255.90	RS	F	12	7817	0	63	54.27
818	17/10/2016	880.00	ENSINO MEDIO COMPLETO                                                                               	1473.94	386.18	PE	F	12	7817	0	31	42.29
819	15/08/2016	880.00	ANALFABETO                                                                                          	1000.00	229.86	RS	M	12	7770	0	71	43.83
820	12/05/2016	1886.28	POS-GRADUACAO INCOMPLETO                                                                            	1104.46	233.71	SC	F	12	7770	0	66	75.77
821	12/09/2016	3759.09	ENSINO MEDIO COMPLETO                                                                               	1500.00	376.14	PE	F	8	7770	0	53	66.93
822	31/10/2016	1245.61	ENSINO FUNDAMENTAL COMPLETO                                                                         	2434.61	550.52	PR	F	12	7770	1	42	46.62
823	22/04/2016	1284.60	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	609.06	123.06	SP	M	12	7770	1	68	69.06
824	19/09/2016	1833.84	ENSINO MEDIO COMPLETO                                                                               	1115.94	292.56	RJ	M	12	7817	1	47	38.25
825	08/08/2016	2011.49	ENSINO MEDIO COMPLETO                                                                               	3894.26	857.16	SP	M	12	7770	0	61	34.01
826	16/08/2016	616.00	ANALFABETO                                                                                          	1021.49	268.88	PB	F	12	7817	0	73	56.43
827	23/05/2016	572.00	ANALFABETO                                                                                          	1083.40	252.92	CE	F	12	7770	0	56	77.74
828	26/07/2016	1671.12	ENSINO FUNDAMENTAL COMPLETO                                                                         	2500.00	639.80	PB	M	12	7770	1	76	19.30
829	08/08/2016	880.00	ENSINO MEDIO COMPLETO                                                                               	1863.21	389.11	PE	M	12	7770	1	64	57.13
830	03/10/2016	880.00	ATE 4 SERIE INCOMPLETA DO ENSINO FUNDAMENTAL                                                        	2053.10	440.00	PE	M	12	7831	0	34	53.77
831	28/06/2016	572.00	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	1119.37	249.99	PB	M	12	7770	0	69	64.99
832	02/05/2016	572.00	ENSINO MEDIO INCOMPLETO                                                                             	1145.31	252.93	SP	F	12	7770	0	73	77.43
833	12/07/2016	1035.00	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	1826.47	463.03	MG	F	12	7817	1	41	40.55
834	10/08/2016	880.00	DA 5 A 8 SERIE DO ENSINO FUNDAMENTAL                                                                	1387.08	381.35	PB	M	12	7817	0	55	33.57
